timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
169249373,19511.719,141.24425,17,42590,4790,65536,0,3,127
170250351,19660.807,141.29964,17,42838,2698,65536,0,3,127
171251346,19805.559,141.32327,17,43084,5207,65536,0,3,127
172252576,19955.98,141.3865,17,43332,2266,65536,0,3,127
173253345,20100.04,141.40453,17,43578,5141,65536,0,3,127
174254359,20246.521,141.43901,17,43826,6045,65536,0,3,127
175255354,20396.098,141.49449,17,44072,3283,65536,0,3,127
176256374,20544.0,141.53764,17,44320,2475,65536,0,3,127
177257387,20689.414,141.56317,17,44568,4477,65536,0,3,127
178258369,20838.562,141.61377,17,44814,2163,65536,0,3,127
179259372,20984.824,141.64418,17,45062,3034,65536,0,3,127
180260456,21105.094,141.49986,17,45308,31008,65536,0,3,127
181261365,21248.0,141.50836,20,45556,3769,65536,0,3,127
182262377,21396.715,141.5551,20,45802,1771,65536,0,3,127
183263352,21543.195,141.58656,20,46050,2654,65536,0,3,127
184264382,21689.209,141.6145,20,46298,3737,65536,0,3,127
185265355,21836.98,141.65355,20,46544,2866,65536,0,3,127
186266361,21982.71,141.67892,20,46792,4577,65536,0,3,127
187267403,22129.629,141.71152,20,47038,4465,65536,0,3,127
188268349,22276.484,141.7434,20,47286,4657,65536,0,3,127
189269353,22423.389,141.77513,20,47532,4935,65536,0,3,127
190270346,22571.05,141.81122,20,47780,4353,65536,0,3,127
191271419,22720.0,141.85486,20,48028,2948,65536,0,3,127
192272405,22864.59,141.87096,20,48274,5512,65536,0,3,127
193273359,23011.96,141.90402,20,48522,5271,65536,0,3,127
194274401,23160.125,141.9415,20,48768,3998,65536,0,3,127
195275347,23309.625,141.98671,20,49016,1746,65536,0,3,127
196276559,23454.127,142.00089,20,49264,4390,65536,0,3,127
197277376,23599.49,142.02045,20,49510,6114,65536,0,3,127
198278354,23748.324,142.06036,20,49758,4417,65536,0,3,127
199279348,23894.436,142.08362,20,50004,5245,65536,0,3,127
200280571,24044.5,142.12978,20,50252,2632,65536,0,3,127
201281344,24192.0,142.16068,20,50498,1883,65536,0,3,127
202282376,24337.037,142.17662,20,50746,4008,65536,0,3,127
203283380,24484.71,142.20772,20,50994,3393,65536,0,3,127
204284352,24629.363,142.22104,20,51240,6398,65536,0,3,127
205285352,24780.824,142.27327,20,51488,1945,65536,0,3,127
206286345,24926.814,142.29369,20,51734,2866,65536,0,3,127
207287384,25073.732,142.31909,20,51982,3299,65536,0,3,127
208288356,25220.652,142.34428,20,52228,3287,65536,0,3,127
209289349,25365.137,142.3555,20,52476,5948,65536,0,3,127
210290669,25515.066,142.39671,20,52724,3774,65536,0,3,127
211291346,25664.0,142.43246,20,52970,1051,65536,0,3,127
212292409,25808.262,142.44173,20,53218,4421,65536,0,3,127
213293354,25955.83,142.46912,20,53464,4003,65536,0,3,127
214294352,26104.432,142.50183,20,53712,2449,65536,0,3,127
215295345,26252.23,142.52982,20,53958,1559,65536,0,3,127
216296372,26397.602,142.54437,20,54206,3534,65536,0,3,127
217297397,26544.928,142.56926,20,54454,3527,65536,0,3,127
218298353,26692.287,142.59412,20,54700,3036,65536,0,3,127
219299586,26837.06,142.60477,20,54953,5501,65536,0,3,127
220300346,26983.945,142.62683,20,55199,5098,65536,0,3,127
221301386,27132.637,142.65791,20,55447,3890,65536,0,3,127
222302384,27280.635,142.6851,20,55693,3048,65536,0,3,127
223303380,27413.184,142.63164,20,55941,17932,65536,0,3,127
227307405,27550.666,140.42154,24,56929,3217,65536,0,3,127
228308357,27696.23,140.44695,24,57177,5289,65536,0,3,127
229309347,27844.105,140.48373,24,57423,3919,65536,0,3,127
230310352,27992.752,140.52399,24,57671,2320,65536,0,3,127
231311404,28138.959,140.55164,24,57919,3931,65536,0,3,127
232312441,28287.406,140.59016,24,58165,2901,65536,0,3,127
233313371,28432.62,140.61237,24,58413,5104,65536,0,3,127
234314382,28578.455,140.63737,24,58659,6253,65536,0,3,127
235315359,28728.572,140.68312,24,58907,3106,65536,0,3,127
236316447,28876.312,140.71677,24,59154,2529,65536,0,3,127
237317382,29023.46,140.74733,24,59401,2480,65536,0,3,127
238318370,29168.945,140.76952,24,59649,3837,65536,0,3,127
239319347,29316.512,140.8015,24,59895,3480,65536,0,3,127
240320369,29461.6,140.8213,24,60143,5513,65536,0,3,127
241321383,29610.24,140.85782,24,60389,4230,65536,0,3,127
242322392,29760.0,140.89929,24,60637,1753,65536,0,3,127
243323536,29905.344,140.91948,24,60885,3546,65536,0,3,127
244324346,30051.13,140.94177,24,61131,4716,65536,0,3,127
245325355,30197.832,140.96799,24,61379,5330,65536,0,3,127
246326348,30344.75,140.99498,24,61625,5361,65536,0,3,127
247327384,30493.566,141.03049,24,61873,3546,65536,0,3,127
248328373,30639.238,141.05121,24,62119,5098,65536,0,3,127
249329352,30789.172,141.09128,24,62367,2179,65536,0,3,127
250330377,30933.012,141.10316,24,62615,5488,65536,0,3,127
251331348,31080.057,141.12952,24,62861,5649,65536,0,3,127
252332390,31228.271,141.16087,24,63109,4941,65536,0,3,127
253333346,31377.191,141.19518,24,63355,2866,65536,0,3,127
254334356,31522.943,141.21497,24,63603,4489,65536,0,3,127
255335357,31668.385,141.23317,24,63849,6032,65536,0,3,127
256336348,31816.383,141.26259,24,64097,5083,65536,0,3,127
257337496,31966.805,141.30237,24,64345,1929,65536,0,3,127
258338347,32111.93,141.31865,24,64591,3778,65536,0,3,127
259339376,32260.578,141.35013,24,64839,2163,65536,0,3,127
260340357,32406.195,141.36815,24,65085,4210,65536,0,3,127
261341361,32551.336,141.38391,24,65333,6229,65536,0,3,127
262342401,32701.729,141.42224,24,65579,2192,65536,0,3,127
263343372,32819.492,141.31976,24,65827,32744,65536,0,3,127
264344359,32964.156,141.33351,30,66075,4220,65536,0,3,127
265345354,33113.402,141.3667,30,66321,1825,65536,0,3,127
266346353,33259.254,141.38515,30,66569,3320,65536,0,3,127
267347378,33408.0,141.4157,30,66815,1448,65536,0,3,127
268348350,33553.348,141.4317,30,67063,3279,65536,0,3,127
269349348,33699.57,141.45122,30,67309,4257,65536,0,3,127
270350374,33847.797,141.47893,30,67557,3074,65536,0,3,127
271351489,33992.992,141.49374,30,67805,5480,65536,0,3,127
272352399,34142.727,141.52736,30,68051,2398,65536,0,3,127
273353379,34288.133,141.5428,30,68299,4549,65536,0,3,127
274354348,34436.133,141.56879,30,68545,3304,65536,0,3,127
275355354,34581.195,141.58252,30,68793,5699,65536,0,3,127
276356344,34728.31,141.60449,30,69039,5471,65536,0,3,127
277357355,34877.16,141.63333,30,69287,3718,65536,0,3,127
278358380,35026.055,141.66211,30,69535,2056,65536,0,3,127
279359360,35170.195,141.67152,30,69781,4857,65536,0,3,127
280360352,35316.457,141.68939,30,70029,5687,65536,0,3,127
281361372,35464.195,141.71298,30,70275,5091,65536,0,3,127
282362382,35610.047,141.72888,30,70523,6383,65536,0,3,127
283363467,35759.305,141.75812,30,70770,4399,65536,0,3,127
284364356,35908.332,141.78633,30,71017,2673,65536,0,3,127
285365356,36054.78,141.80411,30,71265,3308,65536,0,3,127
286366345,36198.902,141.81265,30,71511,6032,65536,0,3,127
287367388,36349.28,141.84549,30,71759,2892,65536,0,3,127
289369348,36484.375,141.26904,35,72253,1820,65536,0,3,127
290370752,36630.242,141.28601,35,72501,3762,65536,0,3,127
291371348,36775.152,141.29962,35,72747,5358,65536,0,3,127
292372387,36924.246,141.32889,35,72995,3708,65536,0,3,127
293373353,37068.562,141.33975,35,73241,6661,65536,0,3,127
294374353,37218.934,141.37352,35,73489,3324,65536,0,3,127
295375344,37316.188,141.20604,35,73735,54192,65536,0,3,127
296376348,37344.8,140.78105,37,73983,44649,65536,0,3,127
297377404,37533.633,140.96097,37,74231,1929,65536,0,3,127
298378348,37680.062,140.98091,37,74477,2457,65536,0,3,127
299379354,37824.0,140.99142,37,74725,5902,65536,0,3,127
