timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
87600531,87600531,43,0,0,0,1492,1326,1781,1542,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
88089289,88089289,43,0,0,0,1484,1330,1780,1542,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
88602489,88602489,43,0,0,0,1471,1326,1776,1538,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
89091331,89091331,43,0,0,0,1444,1315,1781,1523,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
89604537,89604537,43,0,0,0,1339,1323,1770,1522,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
90093377,90093377,43,0,0,0,1306,1295,1770,1522,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
90606620,90606620,43,0,0,0,1276,1275,1770,1519,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
91095475,91095475,43,0,0,0,1261,1266,1778,1495,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
91608607,91608607,43,0,0,0,1274,1241,1784,1504,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
92097432,92097432,43,0,0,0,1256,1239,1788,1419,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
92610660,92610660,43,0,0,0,1219,1256,1836,1367,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
93099475,93099475,43,0,0,0,1141,1241,1823,1344,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
93612711,93612711,43,0,0,0,1107,1237,1819,1351,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
94101520,94101520,43,0,0,0,1100,1249,1814,1354,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
94590355,94590355,43,0,0,0,1101,1266,1804,1343,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
95103572,95103572,43,0,0,0,1090,1262,1817,1322,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
95592326,95592326,43,0,0,0,1102,1344,1838,1309,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
96105570,96105570,43,0,0,0,1099,1382,1806,1327,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
96594418,96594418,43,0,0,0,1103,1421,1805,1335,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
97107605,97107605,43,0,0,0,1252,1468,1785,1343,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
97596430,97596430,43,0,0,0,1175,1460,1786,1345,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
98109650,98109650,43,0,0,0,1113,1520,1788,1332,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
98598446,98598446,43,0,0,0,1052,1501,1785,1314,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
99111735,99111735,43,0,0,0,1116,1525,1709,1346,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
99600571,99600571,43,0,0,0,1097,1524,1693,1360,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
100089291,100089291,43,0,0,0,1235,1530,1664,1395,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
100602560,100602560,43,0,0,0,1379,1530,1662,1412,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
101091367,101091367,43,0,0,0,1460,1525,1617,1504,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
101604582,101604582,43,0,0,0,1275,1524,1581,1506,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
102093382,102093382,43,0,0,0,1465,1525,1508,1508,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
102606695,102606695,43,0,0,0,1465,1530,1503,1507,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
103095416,103095416,43,0,0,0,1465,1530,1502,1507,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
103608669,103608669,43,0,0,0,1465,1524,1503,1507,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
104097470,104097470,43,0,0,0,1465,1530,1502,1507,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
104610725,104610725,43,0,0,0,1465,1526,1503,1508,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
105099504,105099504,43,0,0,0,1465,1530,1495,1508,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
105588285,105588285,43,0,0,0,1465,1530,1448,1508,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
106101558,106101558,43,0,0,0,1465,1530,1353,1508,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
106590385,106590385,43,0,0,0,1465,1530,1123,1507,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
107103613,107103613,43,0,0,0,1465,1530,995,1508,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
107592366,107592366,43,0,0,0,1465,1530,995,1510,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
108105642,108105642,43,0,0,0,1465,1535,995,1512,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
108594418,108594418,43,0,0,0,1465,1530,995,1515,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
109107716,109107716,43,0,0,0,1465,1530,995,1518,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
109596470,109596470,43,0,0,0,1465,1530,995,1515,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
110109835,110109835,43,0,0,0,1465,1530,995,1495,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
110598508,110598508,43,0,0,0,1465,1530,995,1515,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
111111762,111111762,43,0,0,0,1465,1530,995,1507,995,995,995,995,1495,1461,995,1995,995,1461,995,995,998,998,18,0,0,4
111600603,111600603,43,0,0,0,1465,1530,995,1505,995,995,995,995,1495,1466,995,1995,995,1466,995,995,998,998,18,0,0,4
112089357,112089357,43,0,0,0,1465,1530,995,1506,995,995,995,995,1495,1468,995,1995,995,1468,995,995,998,998,18,0,0,4
112602589,112602589,43,0,0,0,1465,1530,995,1507,995,995,1995,995,1495,1470,995,1995,995,1470,995,995,998,998,18,0,0,4
