timestamp,nav_state_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,latest_arming_reason,latest_disarming_reason
384668666,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
385174647,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
385680649,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
386186650,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
386692648,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
387198649,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
387704674,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
388210698,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
388716648,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
389222649,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
389728874,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
390234691,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
390741201,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
391246647,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
394788667,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
395294657,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
395800647,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
396306648,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
396812651,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
397318647,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
397824648,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
398330648,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
398836695,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
399342648,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
399848669,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
400354665,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
400860665,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
401366660,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
401872648,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
402378647,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
402884648,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
403391000,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
403896649,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
404403129,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
404908714,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
405414651,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
405920645,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
406426648,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
406932648,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
407438647,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
407944648,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
408450649,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
408956654,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
409462648,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
409968667,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
410474649,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
