timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
888189867,-0.070348166,-0.16653837,0.45251095
888209795,-0.070348166,-0.16653837,0.45251095
888229795,-0.07183485,-0.16803421,0.4374114
888249779,-0.06588811,-0.1770092,0.4404313
888269793,-0.06588811,-0.1770092,0.4404313
888289792,-0.073321536,-0.1725217,0.44496116
888309777,-0.073321536,-0.16953002,0.44949102
888329795,-0.073321536,-0.16953002,0.44949102
888349797,-0.070348166,-0.1725217,0.44949102
888369777,-0.07629491,-0.16354673,0.44949102
888389793,-0.061428048,-0.16504253,0.451001
888409864,-0.061428048,-0.16504253,0.451001
888429795,-0.073321536,-0.15008427,0.44496116
888449794,-0.073321536,-0.15905924,0.45251095
888469779,-0.074808225,-0.16205089,0.4540209
888489793,-0.070348166,-0.16354673,0.44949102
888509792,-0.070348166,-0.16354673,0.44949102
888529799,-0.073321536,-0.15905924,0.45251095
888549796,-0.080754966,-0.1575634,0.46761045
888569798,-0.080754966,-0.1575634,0.46761045
888589777,-0.07778159,-0.15008427,0.451001
888609793,-0.083728336,-0.15905924,0.44496116
888629804,-0.080754966,-0.16354673,0.44496116
888649795,-0.080754966,-0.16354673,0.44496116
888669795,-0.061428048,-0.15158011,0.45704082
888689781,-0.061428048,-0.15158011,0.45704082
888709793,-0.07629491,-0.14709263,0.45553085
888729792,-0.07629491,-0.1575634,0.45553085
888749798,-0.074808225,-0.1560676,0.451001
888769823,-0.074808225,-0.1560676,0.451001
888789795,-0.08224165,-0.15158011,0.4479811
888809809,-0.08224165,-0.15158011,0.4479811
888829777,-0.070348166,-0.1575634,0.44345123
888849800,-0.070348166,-0.1575634,0.44345123
888869795,-0.061428048,-0.15905924,0.4540209
888889795,-0.073321536,-0.16354673,0.44949102
888909778,-0.07183485,-0.16205089,0.4479811
888929794,-0.07183485,-0.16205089,0.4479811
888949793,-0.07778159,-0.15008427,0.44496116
888969797,-0.07629491,-0.16354673,0.44345123
888989795,-0.07629491,-0.16354673,0.44345123
889009795,-0.07778159,-0.14559679,0.4374114
889029814,-0.06440142,-0.1575634,0.45553085
889049792,-0.06886148,-0.15008427,0.4479811
889069794,-0.074808225,-0.16504253,0.4540209
889089799,-0.074808225,-0.16504253,0.4540209
889109794,-0.07778159,-0.15158011,0.4540209
889129778,-0.06886148,-0.15158011,0.44496116
889149794,-0.06886148,-0.15158011,0.44496116
889169794,-0.07778159,-0.14559679,0.46006072
889189797,-0.074808225,-0.14559679,0.451001
889209803,-0.074808225,-0.14559679,0.451001
889229778,-0.07629491,-0.16354673,0.44496116
889249794,-0.07629491,-0.16354673,0.44496116
889269794,-0.07183485,-0.15158011,0.4540209
889289796,-0.07183485,-0.15158011,0.4540209
889309795,-0.06588811,-0.15307592,0.45855075
889329794,-0.074808225,-0.15158011,0.451001
889349779,-0.07183485,-0.1560676,0.44496116
889369795,-0.07183485,-0.1560676,0.44496116
889389871,-0.07778159,-0.15158011,0.45704082
889409797,-0.06440142,-0.1575634,0.46459055
889429796,-0.06440142,-0.1575634,0.46459055
889449782,-0.073321536,-0.15307592,0.44496116
889469795,-0.07629491,-0.15905924,0.45251095
889489792,-0.08224165,-0.16504253,0.4540209
889509794,-0.06440142,-0.1575634,0.45251095
889529795,-0.06440142,-0.1575634,0.45251095
889549795,-0.070348166,-0.15307592,0.45855075
889569778,-0.070348166,-0.15307592,0.45855075
889589795,-0.083728336,-0.15905924,0.45704082
889609834,-0.070348166,-0.15905924,0.4268417
889629796,-0.08224165,-0.16354673,0.44949102
889649796,-0.08224165,-0.16354673,0.44949102
889669779,-0.06886148,-0.15905924,0.44496116
889689796,-0.06886148,-0.15905924,0.44496116
889709793,-0.07629491,-0.15905924,0.44496116
889729794,-0.07629491,-0.16653837,0.45855075
889749795,-0.07629491,-0.16653837,0.45855075
889769814,-0.07778159,-0.17102586,0.451001
889789780,-0.07629491,-0.16354673,0.44496116
889809795,-0.08224165,-0.1770092,0.44949102
889829837,-0.074808225,-0.19047162,0.4374114
889849795,-0.074808225,-0.19047162,0.4374114
889869793,-0.08224165,-0.19196746,0.4343915
889889778,-0.080754966,-0.22188403,0.4268417
889909795,-0.080754966,-0.22188403,0.4268417
889929795,-0.07183485,-0.23534648,0.41325217
889949814,-0.08224165,-0.24282563,0.4147621
889969795,-0.06588811,-0.26526305,0.39966258
889989794,-0.06588811,-0.26526305,0.39966258
890009805,-0.083728336,-0.27423802,0.3739934
890029777,-0.083728336,-0.27423802,0.3739934
890049795,-0.06886148,-0.30265877,0.36493367
890069795,-0.08224165,-0.2936838,0.36644363
890089795,-0.086701706,-0.31612122,0.35134408
890109777,-0.086701706,-0.31612122,0.35134408
890129798,-0.086701706,-0.31612122,0.35134408
890149793,-0.089675084,-0.32659203,0.3286948
890169795,-0.092648454,-0.3385586,0.31359527
890189796,-0.092648454,-0.3385586,0.31359527
890209794,-0.08224165,-0.34753358,0.30453554
890229803,-0.08224165,-0.34304613,0.28943598
890249793,-0.089675084,-0.35501277,0.28188625
890269799,-0.089675084,-0.3609961,0.26527676
890289796,-0.089675084,-0.3609961,0.26527676
890309795,-0.08224165,-0.36997104,0.25017723
890329778,-0.089675084,-0.39240846,0.24413742
890349795,-0.089675084,-0.39240846,0.24413742
890369794,-0.091161765,-0.38492933,0.22752795
890389798,-0.083728336,-0.39240846,0.2290379
890409795,-0.083728336,-0.38193765,0.2290379
890429783,-0.083728336,-0.38193765,0.2290379
890449792,-0.083728336,-0.38193765,0.2290379
890469794,-0.080754966,-0.3834335,0.24413742
890489797,-0.074808225,-0.38193765,0.2637668
890509796,-0.07183485,-0.36847523,0.27282652
890529797,-0.05399462,-0.3669794,0.28188625
890549777,-0.05399462,-0.3669794,0.28188625
890569796,-0.04953456,-0.3609961,0.30755544
890589868,-0.04953456,-0.3609961,0.30755544
890609795,-0.048047878,-0.35351694,0.3151052
890629795,-0.037641075,-0.32958364,0.32718486
890649777,-0.037641075,-0.32958364,0.32718486
890669793,-0.028720962,-0.33407116,0.33926445
890689793,-0.028720962,-0.33407116,0.33926445
890709799,-0.019800847,-0.34304613,0.33322462
890729795,-0.009394046,-0.3370628,0.33020476
890749795,-0.007907361,-0.335567,0.31661516
890769777,-0.007907361,-0.335567,0.31661516
890789795,-0.007907361,-0.335567,0.31661516
890809853,-0.010880733,-0.36548355,0.3151052
890829795,-0.001960617,-0.34753358,0.28641608
890849795,-0.010880733,-0.37445852,0.2743365
890869777,-0.010880733,-0.37445852,0.2743365
890889792,-0.007907361,-0.37595436,0.24564739
890909793,-0.003447304,-0.3834335,0.22752795
890929795,-0.003447304,-0.3834335,0.22752795
890949794,-0.027234277,-0.4058709,0.22450803
890969803,-0.016827475,-0.41185424,0.21544832
890989777,-0.027234277,-0.40886256,0.20638861
891009796,-0.03169433,-0.39839175,0.20789856
891029848,-0.028720962,-0.39540014,0.22148813
891049797,-0.028720962,-0.39540014,0.22148813
891069795,-0.03615439,-0.39240846,0.24564739
891089777,-0.03615439,-0.39240846,0.24564739
891109794,-0.04656119,-0.36847523,0.28641608
891129793,-0.034667704,-0.35650858,0.30000567
891149796,-0.034667704,-0.35650858,0.30000567
891169802,-0.034667704,-0.32958364,0.3317147
891189795,-0.022774218,-0.31312954,0.36946353
891209812,-0.022774218,-0.31312954,0.36946353
891229777,-0.02574759,-0.28620464,0.3739934
891249795,-0.016827475,-0.26526305,0.39966258
891269797,-0.019800847,-0.24731311,0.4057024
891289795,-0.019800847,-0.24282563,0.41778204
891309778,-0.019800847,-0.24282563,0.41778204
891329791,-0.004933989,-0.20542991,0.4374114
891349793,-0.004933989,-0.20542991,0.4374114
891369796,0.006959495,-0.18448833,0.4374114
891389794,0.006959495,-0.18448833,0.4374114
891409793,0.006959495,-0.16953002,0.45855075
891429794,0.0039861253,-0.17102586,0.451001
891449793,0.006959495,-0.16205089,0.47667018
891469795,0.006959495,-0.16205089,0.47667018
891489795,0.0010127549,-0.15905924,0.4540209
891509793,0.008446184,-0.15008427,0.4721403
891529777,0.008446184,-0.15008427,0.4721403
891549792,0.006959495,-0.14410095,0.46761045
891569793,0.0010127549,-0.15905924,0.47063035
891589798,0.006959495,-0.14260514,0.45704082
891609795,-0.010880733,-0.15008427,0.451001
891629784,-0.010880733,-0.15008427,0.451001
891649794,-0.010880733,-0.15905924,0.45553085
891669793,-0.010880733,-0.15905924,0.45553085
891689795,-0.001960617,-0.15158011,0.4661005
891709795,-0.010880733,-0.15307592,0.46761045
891729795,-0.004933989,-0.15158011,0.46006072
891749777,-0.004933989,-0.15158011,0.46006072
891769795,-0.004933989,-0.15008427,0.4630806
891789804,-0.022774218,-0.14410095,0.45553085
891809797,-0.022774218,-0.14410095,0.45553085
891829795,-0.02574759,-0.15158011,0.4630806
891849778,-0.019800847,-0.14410095,0.45251095
891869794,-0.02574759,-0.15008427,0.45704082
891889794,-0.019800847,-0.1366218,0.47063035
891909795,-0.019800847,-0.1366218,0.47063035
891929795,-0.015340789,-0.15008427,0.47063035
891949795,-0.028720962,-0.13961345,0.4661005
891969777,-0.028720962,-0.13961345,0.4661005
891989794,-0.019800847,-0.13213432,0.45855075
892009847,-0.019800847,-0.13213432,0.45855075
892029796,-0.022774218,-0.12465519,0.46761045
892049796,-0.022774218,-0.12465519,0.46761045
892069780,-0.021287533,-0.12315935,0.47063035
892089794,-0.016827475,-0.12315935,0.46459055
892109795,-0.016827475,-0.12914267,0.46459055
892129795,-0.022774218,-0.13213432,0.4721403
892149795,-0.022774218,-0.13213432,0.4721403
892169844,-0.02574759,-0.1201677,0.47063035
892189777,-0.027234277,-0.1052094,0.4721403
892209794,-0.028720962,-0.11717605,0.47063035
892229806,-0.028720962,-0.11717605,0.47063035
892249795,-0.019800847,-0.12914267,0.46761045
892269795,-0.027234277,-0.12465519,0.4721403
892289777,-0.027234277,-0.12465519,0.4721403
892309793,-0.021287533,-0.13063848,0.47063035
892329795,-0.03169433,-0.11717605,0.4661005
892349797,-0.028720962,-0.1201677,0.4630806
892369794,-0.028720962,-0.1201677,0.4630806
892389794,-0.028720962,-0.1366218,0.4721403
892409808,-0.028720962,-0.1366218,0.4721403
892429778,-0.016827475,-0.14110929,0.46761045
892449796,-0.016827475,-0.14110929,0.46761045
892469796,-0.027234277,-0.14410095,0.4721403
892489795,-0.015340789,-0.1366218,0.4661005
892509779,-0.028720962,-0.14260514,0.4540209
892529795,-0.028720962,-0.14260514,0.4540209
892549795,-0.019800847,-0.15905924,0.4661005
892569795,-0.019800847,-0.15905924,0.4661005
892589795,-0.028720962,-0.1560676,0.46006072
892609795,-0.016827475,-0.14110929,0.45855075
892629794,-0.019800847,-0.15008427,0.45855075
892649792,-0.030207647,-0.16354673,0.45553085
892669797,-0.030207647,-0.16354673,0.45553085
892689796,-0.037641075,-0.14110929,0.46459055
892709794,-0.037641075,-0.14110929,0.46459055
892729778,-0.030207647,-0.14709263,0.4630806
892749794,-0.030207647,-0.14709263,0.4630806
892769795,-0.028720962,-0.15158011,0.45704082
892789797,-0.028720962,-0.14559679,0.4540209
892809795,-0.030207647,-0.14410095,0.45855075
892829792,-0.030207647,-0.14410095,0.45855075
892849792,-0.028720962,-0.15008427,0.4540209
892869792,-0.03615439,-0.13213432,0.4540209
892889797,-0.03615439,-0.13213432,0.4540209
892909796,-0.037641075,-0.14410095,0.46761045
892929803,-0.034667704,-0.13512596,0.46459055
892949778,-0.042101134,-0.15158011,0.47063035
892969794,-0.028720962,-0.1366218,0.46006072
892989880,-0.028720962,-0.1366218,0.46006072
893009795,-0.034667704,-0.12465519,0.4721403
893029797,-0.037641075,-0.13961345,0.4630806
893049777,-0.037641075,-0.13961345,0.4630806
893069792,-0.028720962,-0.12615103,0.4661005
893089791,-0.04061445,-0.12465519,0.4721403
893109799,-0.04061445,-0.12465519,0.4721403
893129793,-0.04061445,-0.12465519,0.4721403
893149794,-0.028720962,-0.118671864,0.45855075
893169778,-0.028720962,-0.118671864,0.45855075
893189794,-0.037641075,-0.13811764,0.4721403
893209865,-0.037641075,-0.1366218,0.46006072
893229795,-0.027234277,-0.12465519,0.45251095
893249795,-0.027234277,-0.12465519,0.45251095
893269779,-0.034667704,-0.13512596,0.45855075
893289794,-0.027234277,-0.13512596,0.46761045
893309795,-0.027234277,-0.13512596,0.46761045
893329802,-0.028720962,-0.13512596,0.46459055
893349796,-0.04656119,-0.14260514,0.4630806
893369811,-0.034667704,-0.14110929,0.45855075
893389778,-0.034667704,-0.14110929,0.45855075
893409794,-0.034667704,-0.14110929,0.45855075
893429827,-0.03169433,-0.15008427,0.45704082
893449795,-0.03169433,-0.15008427,0.45704082
893469795,-0.04358782,-0.14410095,0.45855075
893489777,-0.04358782,-0.14410095,0.45855075
893509792,-0.034667704,-0.13512596,0.4630806
893529792,-0.03169433,-0.15158011,0.46006072
893549796,-0.03615439,-0.15008427,0.46006072
893569795,-0.03615439,-0.15008427,0.46006072
893589795,-0.034667704,-0.14709263,0.4630806
893609819,-0.034667704,-0.14709263,0.4630806
893629780,-0.030207647,-0.14110929,0.46459055
893649815,-0.037641075,-0.14559679,0.47063035
893669797,-0.028720962,-0.1366218,0.4721403
893689794,-0.028720962,-0.1366218,0.4721403
893709779,-0.04061445,-0.13811764,0.45855075
893729792,-0.03169433,-0.13961345,0.4661005
893749793,-0.03169433,-0.13961345,0.4661005
893769798,-0.04061445,-0.15307592,0.4721403
893789800,-0.04061445,-0.14410095,0.4721403
893809795,-0.042101134,-0.15008427,0.451001
893829812,-0.042101134,-0.15008427,0.451001
893849792,-0.034667704,-0.14110929,0.4721403
893869795,-0.037641075,-0.14110929,0.46459055
893889796,-0.037641075,-0.14110929,0.46459055
893909795,-0.037641075,-0.14260514,0.4630806
893929778,-0.037641075,-0.14260514,0.4630806
893949792,-0.04358782,-0.14110929,0.4721403
893969793,-0.04358782,-0.14110929,0.4721403
893989805,-0.03615439,-0.1366218,0.47667018
