timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
967609066,5.068634,0.0,0,0,3,0,0,0,0
968109065,5.06803,0.0,0,0,3,0,0,0,0
968609066,5.0639005,0.0,0,0,3,0,0,0,0
969109064,5.058865,0.0,0,0,3,0,0,0,0
969609065,5.102673,0.0,0,0,3,0,0,0,0
970109091,5.0607786,0.0,0,0,3,0,0,0,0
970609221,5.0684323,0.0,0,0,3,0,0,0,0
971109107,5.070044,0.0,0,0,3,0,0,0,0
971609066,5.0688353,0.0,0,0,3,0,0,0,0
972109088,5.059671,0.0,0,0,3,0,0,0,0
972609066,5.0732665,0.0,0,0,3,0,0,0,0
973109136,5.079712,0.0,0,0,3,0,0,0,0
973609066,5.0419464,0.0,0,0,3,0,0,0,0
974109066,5.0667205,0.0,0,0,3,0,0,0,0
974609066,5.0511107,0.0,0,0,3,0,0,0,0
975109064,5.0607786,0.0,0,0,3,0,0,0,0
975609065,5.099753,0.0,0,0,3,0,0,0,0
976109090,5.0615845,0.0,0,0,3,0,0,0,0
976609067,5.064203,0.0,0,0,3,0,0,0,0
977109096,5.065411,0.0,0,0,3,0,0,0,0
977609067,5.078302,0.0,0,0,3,0,0,0,0
978109091,5.0601745,0.0,0,0,3,0,0,0,0
978609065,5.054535,0.0,0,0,3,0,0,0,0
979109075,5.106097,0.0,0,0,3,0,0,0,0
979609064,5.0511107,0.0,0,0,3,0,0,0,0
980109064,5.0698423,0.0,0,0,3,0,0,0,0
980609066,5.0685334,0.0,0,0,3,0,0,0,0
981109064,5.0749784,0.0,0,0,3,0,0,0,0
981609067,5.040637,0.0,0,0,3,0,0,0,0
982109064,5.0752807,0.0,0,0,3,0,0,0,0
982609264,5.0833373,0.0,0,0,3,0,0,0,0
983109066,5.0760865,0.0,0,0,3,0,0,0,0
983609067,5.0698423,0.0,0,0,3,0,0,0,0
984109064,5.0763884,0.0,0,0,3,0,0,0,0
984609069,5.07659,0.0,0,0,3,0,0,0,0
985109064,5.01687,0.0,0,0,3,0,0,0,0
985609067,5.0798125,0.0,0,0,3,0,0,0,0
986109088,5.07659,0.0,0,0,3,0,0,0,0
986609066,5.0669217,0.0,0,0,3,0,0,0,0
987109067,5.0688353,0.0,0,0,3,0,0,0,0
987609066,5.042047,0.0,0,0,3,0,0,0,0
988109064,5.0685334,0.0,0,0,3,0,0,0,0
988609067,5.0750794,0.0,0,0,3,0,0,0,0
989109067,5.076489,0.0,0,0,3,0,0,0,0
989609065,5.069641,0.0,0,0,3,0,0,0,0
990109064,5.070648,0.0,0,0,3,0,0,0,0
990609066,5.0453706,0.0,0,0,3,0,0,0,0
991109065,5.069339,0.0,0,0,3,0,0,0,0
991609065,5.016669,0.0,0,0,3,0,0,0,0
992109065,5.0519166,0.0,0,0,3,0,0,0,0
992609066,5.032077,0.0,0,0,3,0,0,0,0
993109064,5.02543,0.0,0,0,3,0,0,0,0
993609065,5.064203,0.0,0,0,3,0,0,0,0
994109064,5.0498013,0.0,0,0,3,0,0,0,0
994609311,5.031775,0.0,0,0,3,0,0,0,0
995109064,5.051715,0.0,0,0,3,0,0,0,0
995609068,5.03389,0.0,0,0,3,0,0,0,0
996109066,5.0374146,0.0,0,0,3,0,0,0,0
996609064,5.0339904,0.0,0,0,3,0,0,0,0
997109064,5.007202,0.0,0,0,3,0,0,0,0
997609069,5.0398316,0.0,0,0,3,0,0,0,0
998109099,5.049399,0.0,0,0,3,0,0,0,0
998609066,5.0583615,0.0,0,0,3,0,0,0,0
999109080,5.06521,0.0,0,0,3,0,0,0,0
999609066,5.1152616,0.0,0,0,3,0,0,0,0
1000109065,5.067627,0.0,0,0,3,0,0,0,0
1000609065,5.0767913,0.0,0,0,3,0,0,0,0
1001109066,5.067224,0.0,0,0,3,0,0,0,0
1001609067,5.0716553,0.0,0,0,3,0,0,0,0
1002109064,5.073569,0.0,0,0,3,0,0,0,0
1002609065,5.0691376,0.0,0,0,3,0,0,0,0
1003109096,5.1234193,0.0,0,0,3,0,0,0,0
1003609065,5.0798125,0.0,0,0,3,0,0,0,0
1004109067,5.081726,0.0,0,0,3,0,0,0,0
1004609066,5.0691376,0.0,0,0,3,0,0,0,0
1005109081,5.0724607,0.0,0,0,3,0,0,0,0
1005609066,5.03822,0.0,0,0,3,0,0,0,0
1006109065,5.074475,0.0,0,0,3,0,0,0,0
1006609348,5.067224,0.0,0,0,3,0,0,0,0
1007109064,5.0724607,0.0,0,0,3,0,0,0,0
1007609066,5.0752807,0.0,0,0,3,0,0,0,0
1008109065,5.068936,0.0,0,0,3,0,0,0,0
1008609067,5.078906,0.0,0,0,3,0,0,0,0
1009109064,5.0331845,0.0,0,0,3,0,0,0,0
1009609084,5.0806184,0.0,0,0,3,0,0,0,0
1010109065,5.0749784,0.0,0,0,3,0,0,0,0
1010609066,5.066821,0.0,0,0,3,0,0,0,0
1011109069,5.0677276,0.0,0,0,3,0,0,0,0
1011609079,5.017273,0.0,0,0,3,0,0,0,0
1014609065,5.0332856,0.0,0,0,3,0,0,0,0
1015109066,4.998642,0.0,0,0,3,0,0,0,0
1015609107,5.044867,0.0,0,0,3,0,0,0,0
1016109068,5.0445647,0.0,0,0,3,0,0,0,0
1016609066,5.057254,0.0,0,0,3,0,0,0,0
1017109064,5.052319,0.0,0,0,3,0,0,0,0
1017609098,5.058563,0.0,0,0,3,0,0,0,0
1018109065,5.043054,0.0,0,0,3,0,0,0,0
1018609234,5.0631957,0.0,0,0,3,0,0,0,0
1019109064,5.0603757,0.0,0,0,3,0,0,0,0
1019609066,5.0635986,0.0,0,0,3,0,0,0,0
1020109065,5.0253296,0.0,0,0,3,0,0,0,0
1020609064,5.0298615,0.0,0,0,3,0,0,0,0
1021109064,5.0169706,0.0,0,0,3,0,0,0,0
1021609091,5.045169,0.0,0,0,3,0,0,0,0
1022109221,5.0805173,0.0,0,0,3,0,0,0,0
1022609088,5.074173,0.0,0,0,3,0,0,0,0
1023109065,5.064102,0.0,0,0,3,0,0,0,0
1023609089,5.1103272,0.0,0,0,3,0,0,0,0
1024109111,5.0779996,0.0,0,0,3,0,0,0,0
1024609111,5.0736694,0.0,0,0,3,0,0,0,0
1025109064,5.0794096,0.0,0,0,3,0,0,0,0
1025609065,5.0695405,0.0,0,0,3,0,0,0,0
1026109065,5.0716553,0.0,0,0,3,0,0,0,0
1026609067,5.062491,0.0,0,0,3,0,0,0,0
1027109065,5.091394,0.0,0,0,3,0,0,0,0
1027609094,5.07518,0.0,0,0,3,0,0,0,0
1028109090,5.0796113,0.0,0,0,3,0,0,0,0
1028609086,5.0846467,0.0,0,0,3,0,0,0,0
1029109065,5.081726,0.0,0,0,3,0,0,0,0
1029609091,5.085452,0.0,0,0,3,0,0,0,0
