timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
522806670,31084,1,1,1,0,0,0,0,1
523312698,31084,1,1,1,0,0,0,0,1
523818656,31084,1,1,1,0,0,0,0,1
524324923,31084,1,1,1,0,0,0,0,1
524830693,31084,1,1,1,0,0,0,0,1
525336707,31084,1,1,1,0,0,0,0,1
525842652,31084,1,1,1,0,0,0,0,1
526348703,31084,1,1,1,0,0,0,0,1
526854652,31084,1,1,1,0,0,0,0,1
527360652,31084,1,1,1,0,0,0,0,1
527866653,31084,1,1,1,0,0,0,0,1
528372652,31084,1,1,1,0,0,0,0,1
528878652,31084,1,1,1,0,0,0,0,1
529384651,31084,1,1,1,0,0,0,0,1
529890652,31084,1,1,1,0,0,0,0,1
530396652,31084,1,1,1,0,0,0,0,1
530902653,31084,1,1,1,0,0,0,0,1
531408677,31084,1,1,1,0,0,0,0,1
531914653,31084,1,1,1,0,0,0,0,1
532420652,31084,1,1,1,0,0,0,0,1
532926676,31084,1,1,1,0,0,0,0,1
533432670,31084,1,1,1,0,0,0,0,1
533938672,31084,1,1,1,0,0,0,0,1
534444673,31084,1,1,1,0,0,0,0,1
534950654,31084,1,1,1,0,0,0,0,1
535456651,31084,1,1,1,0,0,0,0,1
535962654,31084,1,1,1,0,0,0,0,1
536468670,31084,1,1,1,0,0,0,0,1
536974663,31084,1,1,1,0,0,0,0,1
537480653,31084,1,1,1,0,0,0,0,1
537986832,31084,1,1,1,0,0,0,0,1
538492652,31084,1,1,1,0,0,0,0,1
538999203,31084,1,1,1,0,0,0,0,1
539504666,31084,1,1,1,0,0,0,0,1
540010652,31084,1,1,1,0,0,0,0,1
540516652,31084,1,1,1,0,0,0,0,1
541022915,31084,1,1,1,0,0,0,0,1
541528672,31084,1,1,1,0,0,0,0,1
542034652,31084,1,1,1,0,0,0,0,1
542540651,31084,1,1,1,0,0,0,0,1
543046652,31084,1,1,1,0,0,0,0,1
543552653,31084,1,1,1,0,0,0,0,1
544058667,31084,1,1,1,0,0,0,0,1
544564695,31084,1,1,1,0,0,0,0,1
545070653,31084,1,1,1,0,0,0,0,1
545576652,31084,1,1,1,0,0,0,0,1
546082651,31084,1,1,1,0,0,0,0,1
546588690,31084,1,1,1,0,0,0,0,1
550130652,31084,1,1,1,0,0,0,0,1
550636672,31084,1,1,1,0,0,0,0,1
551142655,31084,1,1,1,0,0,0,0,1
551649167,31084,1,1,1,0,0,0,0,1
552154652,31084,1,1,1,0,0,0,0,1
552661175,31084,1,1,1,0,0,0,0,1
553166672,31084,1,1,1,0,0,0,0,1
553672691,31084,1,1,1,0,0,0,0,1
554178673,31084,1,1,1,0,0,0,0,1
554684652,31084,1,1,1,0,0,0,0,1
555190668,31084,1,1,1,0,0,0,0,1
555696670,31084,1,1,1,0,0,0,0,1
556202653,31084,1,1,1,0,0,0,0,1
556708670,31084,1,1,1,0,0,0,0,1
557214652,31084,1,1,1,0,0,0,0,1
557720652,31084,1,1,1,0,0,0,0,1
558226675,31084,1,1,1,0,0,0,0,1
558732652,31084,1,1,1,0,0,0,0,1
559238699,31084,1,1,1,0,0,0,0,1
559744652,31084,1,1,1,0,0,0,0,1
560250674,31084,1,1,1,0,0,0,0,1
560756652,31084,1,1,1,0,0,0,0,1
561262652,31084,1,1,1,0,0,0,0,1
561768670,31084,1,1,1,0,0,0,0,1
562274653,31084,1,1,1,0,0,0,0,1
562780706,31084,1,1,1,0,0,0,0,1
563286652,31084,1,1,1,0,0,0,0,1
563792654,31084,1,1,1,0,0,0,0,1
564298654,31084,1,1,1,0,0,0,0,1
564804722,31084,1,1,1,0,0,0,0,1
565310887,31084,1,1,1,0,0,0,0,1
565816653,31084,1,1,1,0,0,0,0,1
566323059,31084,1,1,1,0,0,0,0,1
566828704,31084,1,1,1,0,0,0,0,1
567334671,31084,1,1,1,0,0,0,0,1
567840651,31084,1,1,1,0,0,0,0,1
568346652,31084,1,1,1,0,0,0,0,1
568852652,31084,1,1,1,0,0,0,0,1
569358652,31084,1,1,1,0,0,0,0,1
569864649,31084,1,1,1,0,0,0,0,1
570370651,31084,1,1,1,0,0,0,0,1
570876652,31084,1,1,1,0,0,0,0,1
571382715,31084,1,1,1,0,0,0,0,1
571888685,31084,1,1,1,0,0,0,0,1
572394655,31084,1,1,1,0,0,0,0,1
572900652,31084,1,1,1,0,0,0,0,1
573406652,31084,1,1,1,0,0,0,0,1
573912654,31084,1,1,1,0,0,0,0,1
574418653,31084,1,1,1,0,0,0,0,1
574924651,31084,1,1,1,0,0,0,0,1
575430652,31084,1,1,1,0,0,0,0,1
575936680,31084,1,1,1,0,0,0,0,1
576442676,31084,1,1,1,0,0,0,0,1
576948688,31084,1,1,1,0,0,0,0,1
577454669,31084,1,1,1,0,0,0,0,1
577961370,31084,1,1,1,0,0,0,0,1
578466681,31084,1,1,1,0,0,0,0,1
578972915,31084,1,1,1,0,0,0,0,1
579478652,31084,1,1,1,0,0,0,0,1
579985057,31084,1,1,1,0,0,0,0,1
580490652,31084,1,1,1,0,0,0,0,1
580996653,31084,1,1,1,0,0,0,0,1
581502654,31084,1,1,1,0,0,0,0,1
582008670,31084,1,1,1,0,0,0,0,1
582514652,31084,1,1,1,0,0,0,0,1
583020652,31084,1,1,1,0,0,0,0,1
583526652,31084,1,1,1,0,0,0,0,1
584032677,31084,1,1,1,0,0,0,0,1
584538652,31084,1,1,1,0,0,0,0,1
585044676,31084,1,1,1,0,0,0,0,1
585550655,31084,1,1,1,0,0,0,0,1
586056653,31084,1,1,1,0,0,0,0,1
586562719,31084,1,1,1,0,0,0,0,1
587068713,31084,1,1,1,0,0,0,0,1
587574652,31084,1,1,1,0,0,0,0,1
588080670,31084,1,1,1,0,0,0,0,1
588586668,31084,1,1,1,0,0,0,0,1
589092652,31084,1,1,1,0,0,0,0,1
589598679,31084,1,1,1,0,0,0,0,1
590104651,31084,1,1,1,0,0,0,0,1
590610654,31084,1,1,1,0,0,0,0,1
591116653,31084,1,1,1,0,0,0,0,1
591622895,31084,1,1,1,0,0,0,0,1
592128705,31084,1,1,1,0,0,0,0,1
592634716,31084,1,1,1,0,0,0,0,1
593140672,31084,1,1,1,0,0,0,0,1
593646651,31084,1,1,1,0,0,0,0,1
594152652,31084,1,1,1,0,0,0,0,1
594658653,31084,1,1,1,0,0,0,0,1
595164651,31084,1,1,1,0,0,0,0,1
595670652,31084,1,1,1,0,0,0,0,1
596176652,31084,1,1,1,0,0,0,0,1
596682677,31084,1,1,1,0,0,0,0,1
597188670,31084,1,1,1,0,0,0,0,1
597694649,31084,1,1,1,0,0,0,0,1
598200652,31084,1,1,1,0,0,0,0,1
598706651,31084,1,1,1,0,0,0,0,1
599212712,31084,1,1,1,0,0,0,0,1
599718668,31084,1,1,1,0,0,0,0,1
600224667,31084,1,1,1,0,0,0,0,1
600730681,31084,1,1,1,0,0,0,0,1
601236652,31084,1,1,1,0,0,0,0,1
601742653,31084,1,1,1,0,0,0,0,1
602248670,31084,1,1,1,0,0,0,0,1
602754680,31084,1,1,1,0,0,0,0,1
603260654,31084,1,1,1,0,0,0,0,1
603766652,31084,1,1,1,0,0,0,0,1
