timestamp,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,fake_hvel[0],fake_hvel[1],fake_vvel,fake_hpos[0],fake_hpos[1],fake_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
431105203,0.09666771,0.09639922,0.21359158,0.2777237,0.2771466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.404983,0.0,0.0,nan,0.0,0.0,0.09006269,0.0025033874,0.0025033278,0.0025014384,0.0,0.0,0.0,0.0,0.0
431310494,0.096476346,0.096361406,0.21360065,0.27755585,0.27701592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.401615,0.0,0.0,nan,0.0,0.0,0.09006269,0.0025034451,0.0025033692,0.0025014388,0.0,0.0,0.0,0.0,0.0
431510902,0.096456274,0.0964149,0.21355861,0.2773775,0.2768971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.402092,0.0,0.0,nan,0.0,0.0,0.09006269,0.0025034838,0.0025034137,0.0025014437,0.0,0.0,0.0,0.0,0.0
431711310,0.09659348,0.096512854,0.21352398,0.27719778,0.27679735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.402046,0.0,0.0,nan,0.0,0.0,0.09006269,0.0025035194,0.0025034235,0.0025014782,0.0,0.0,0.0,0.0,0.0
431911718,0.09687444,0.09667285,0.21350032,0.2770264,0.27671576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.40464,0.0,0.0,nan,0.0,0.0,0.09006269,0.0025036398,0.0025033576,0.002501489,0.0,0.0,0.0,0.0,0.0
432112126,0.097395174,0.09699025,0.21354742,0.27687627,0.27665597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.401808,0.0,0.0,nan,0.0,0.0,0.09006269,0.0025037352,0.0025034272,0.002501373,0.0,0.0,0.0,0.0,0.0
432307646,0.098163724,0.09738667,0.21355662,0.2767653,0.27662924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.401771,0.0,0.0,nan,0.0,0.0,0.09006269,0.002503728,0.0025034964,0.002501339,0.0,0.0,0.0,0.0,0.0
432508054,0.098835945,0.097740114,0.21357018,0.27669972,0.2766348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.404348,0.0,0.0,nan,0.0,0.0,0.09006269,0.002503703,0.0025034747,0.0025013997,0.0,0.0,0.0,0.0,0.0
432708462,0.099725455,0.098285556,0.21366121,0.27667984,0.27666217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.401535,0.0,0.0,nan,0.0,0.0,0.09006269,0.0025037641,0.0025033825,0.0025014307,0.0,0.0,0.0,0.0,0.0
432908870,0.101101086,0.09907051,0.21375647,0.27670825,0.27671453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.401496,0.0,0.0,nan,0.0,0.0,0.09006269,0.002503876,0.002503283,0.0025014007,0.0,0.0,0.0,0.0,0.0
433109278,0.10277878,0.10020611,0.21352346,0.27679306,0.27680004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.401991,0.0,0.0,nan,0.0,0.0,0.09006269,0.0025039287,0.0025032721,0.002501313,0.0,0.0,0.0,0.0,0.0
433309688,0.10396868,0.101386786,0.21318991,0.27694133,0.27692372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.404441,0.0,0.0,nan,0.0,0.0,0.09006269,0.0025038917,0.0025031986,0.0025013452,0.0,0.0,0.0,0.0,0.0
433510094,0.10454135,0.102886364,0.21293308,0.27713192,0.27707368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.401202,0.0,0.0,nan,0.0,0.0,0.09006269,0.0025038237,0.0025030677,0.0025014633,0.0,0.0,0.0,0.0,0.0
433710502,0.10446184,0.10424787,0.21262357,0.27735233,0.27726266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.401532,0.0,0.0,nan,0.0,0.0,0.09006269,0.002503729,0.00250298,0.0025015566,0.0,0.0,0.0,0.0,0.0
433910956,0.10407569,0.105414174,0.21236962,0.27757177,0.27747685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.401322,0.0,0.0,nan,0.0,0.0,0.09006269,0.0025036158,0.002502984,0.0025015809,0.0,0.0,0.0,0.0,0.0
434111318,0.10382464,0.10648397,0.21219748,0.2779916,0.27793506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.403861,0.0,0.0,nan,0.0,0.0,0.09006269,0.0025034992,0.0025030428,0.002501563,0.0,0.0,0.0,0.0,0.0
434311727,0.10309215,0.106153384,0.21205284,0.27792165,0.27792573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.401209,0.0,0.0,nan,0.0,0.0,0.09006269,0.0025033737,0.0025030177,0.0025016645,0.0,0.0,0.0,0.0,0.0
