timestamp,safety_switch_available,safety_off,override_available,override_enabled
260385674,1,1,0,0
261387715,1,1,0,0
262389861,1,1,0,0
263391797,1,1,0,0
264393894,1,1,0,0
265395884,1,1,0,0
266397915,1,1,0,0
267399955,1,1,0,0
268401998,1,1,0,0
269404033,1,1,0,0
270406097,1,1,0,0
271408133,1,1,0,0
272410212,1,1,0,0
273412294,1,1,0,0
274414308,1,1,0,0
275416282,1,1,0,0
276418363,1,1,0,0
277420361,1,1,0,0
278422398,1,1,0,0
279424467,1,1,0,0
280426479,1,1,0,0
281428559,1,1,0,0
282430625,1,1,0,0
283432599,1,1,0,0
284434703,1,1,0,0
285436688,1,1,0,0
286438714,1,1,0,0
287440756,1,1,0,0
289444839,1,1,0,0
290446880,1,1,0,0
291448917,1,1,0,0
292451004,1,1,0,0
293452997,1,1,0,0
294455038,1,1,0,0
295457113,1,1,0,0
296459114,1,1,0,0
297461154,1,1,0,0
298463222,1,1,0,0
299465238,1,1,0,0
300467319,1,1,0,0
301469418,1,1,0,0
302471357,1,1,0,0
303473396,1,1,0,0
304475440,1,1,0,0
305477527,1,1,0,0
306479517,1,1,0,0
307481558,1,1,0,0
308483669,1,1,0,0
309485654,1,1,0,0
310487693,1,1,0,0
311489762,1,1,0,0
312491814,1,1,0,0
313493793,1,1,0,0
314495909,1,1,0,0
315497923,1,1,0,0
316499944,1,1,0,0
317502033,1,1,0,0
318504032,1,1,0,0
319506054,1,1,0,0
320508108,1,1,0,0
321510149,1,1,0,0
322512159,1,1,0,0
323514234,1,1,0,0
324516236,1,1,0,0
325518322,1,1,0,0
326520323,1,1,0,0
327522390,1,1,0,0
328524431,1,1,0,0
329526443,1,1,0,0
330528524,1,1,0,0
331530593,1,1,0,0
332532557,1,1,0,0
336540742,1,1,0,0
337542829,1,1,0,0
338544832,1,1,0,0
339546835,1,1,0,0
340548921,1,1,0,0
341550983,1,1,0,0
342552986,1,1,0,0
343555013,1,1,0,0
344557035,1,1,0,0
345559113,1,1,0,0
346561117,1,1,0,0
347563243,1,1,0,0
349567235,1,1,0,0
350569282,1,1,0,0
351571314,1,1,0,0
352573359,1,1,0,0
353575417,1,1,0,0
354577435,1,1,0,0
355579536,1,1,0,0
356581516,1,1,0,0
357583638,1,1,0,0
358585624,1,1,0,0
359587633,1,1,0,0
360589703,1,1,0,0
361591715,1,1,0,0
362593815,1,1,0,0
363595847,1,1,0,0
364597839,1,1,0,0
365599919,1,1,0,0
366601920,1,1,0,0
367603960,1,1,0,0
368606039,1,1,0,0
369608110,1,1,0,0
370610105,1,1,0,0
371612119,1,1,0,0
372614166,1,1,0,0
373616277,1,1,0,0
374618238,1,1,0,0
375620311,1,1,0,0
376622348,1,1,0,0
377624405,1,1,0,0
378626459,1,1,0,0
379628468,1,1,0,0
380630530,1,1,0,0
381632518,1,1,0,0
382634561,1,1,0,0
383636597,1,1,0,0
384638635,1,1,0,0
385640678,1,1,0,0
386642716,1,1,0,0
387644794,1,1,0,0
388646798,1,1,0,0
389648837,1,1,0,0
390650875,1,1,0,0
394659089,1,1,0,0
395661074,1,1,0,0
396663126,1,1,0,0
397665160,1,1,0,0
398667193,1,1,0,0
399669237,1,1,0,0
400671274,1,1,0,0
401673351,1,1,0,0
402675362,1,1,0,0
403677400,1,1,0,0
404679442,1,1,0,0
405681478,1,1,0,0
406683537,1,1,0,0
407685582,1,1,0,0
408687625,1,1,0,0
409689643,1,1,0,0
410691673,1,1,0,0
411693714,1,1,0,0
412695795,1,1,0,0
413697822,1,1,0,0
414699919,1,1,0,0
415701882,1,1,0,0
416703917,1,1,0,0
417706012,1,1,0,0
418708009,1,1,0,0
419710114,1,1,0,0
420712077,1,1,0,0
421714115,1,1,0,0
422716163,1,1,0,0
423718217,1,1,0,0
424720331,1,1,0,0
425722294,1,1,0,0
426724346,1,1,0,0
427726377,1,1,0,0
428728418,1,1,0,0
429730448,1,1,0,0
430732479,1,1,0,0
431734515,1,1,0,0
432736555,1,1,0,0
433738638,1,1,0,0
434740642,1,1,0,0
435742718,1,1,0,0
436744754,1,1,0,0
437746789,1,1,0,0
438748831,1,1,0,0
439750842,1,1,0,0
440752884,1,1,0,0
441754956,1,1,0,0
442756956,1,1,0,0
443758997,1,1,0,0
446765216,1,1,0,0
447767156,1,1,0,0
448769196,1,1,0,0
449771240,1,1,0,0
450773295,1,1,0,0
451775372,1,1,0,0
452777357,1,1,0,0
453779436,1,1,0,0
454781460,1,1,0,0
455783531,1,1,0,0
456785609,1,1,0,0
457787558,1,1,0,0
458789619,1,1,0,0
459791639,1,1,0,0
460793677,1,1,0,0
461795745,1,1,0,0
462797826,1,1,0,0
463799877,1,1,0,0
464801832,1,1,0,0
465803874,1,1,0,0
466805990,1,1,0,0
467807960,1,1,0,0
468810003,1,1,0,0
469812073,1,1,0,0
470814082,1,1,0,0
471816133,1,1,0,0
472818157,1,1,0,0
473820228,1,1,0,0
474822256,1,1,0,0
475824276,1,1,0,0
476826340,1,1,0,0
477828363,1,1,0,0
478830399,1,1,0,0
479832440,1,1,0,0
480834508,1,1,0,0
481836516,1,1,0,0
483840624,1,1,0,0
484842699,1,1,0,0
485844676,1,1,0,0
486846744,1,1,0,0
487848789,1,1,0,0
488850799,1,1,0,0
489852840,1,1,0,0
490854875,1,1,0,0
491856949,1,1,0,0
492858961,1,1,0,0
493861049,1,1,0,0
494863059,1,1,0,0
498871204,1,1,0,0
499873243,1,1,0,0
500875279,1,1,0,0
501877316,1,1,0,0
502879391,1,1,0,0
503881421,1,1,0,0
504883464,1,1,0,0
505885514,1,1,0,0
506887548,1,1,0,0
507889626,1,1,0,0
508891594,1,1,0,0
509893678,1,1,0,0
510895745,1,1,0,0
511897717,1,1,0,0
512899752,1,1,0,0
513901801,1,1,0,0
514903866,1,1,0,0
515905913,1,1,0,0
516907916,1,1,0,0
517909956,1,1,0,0
518912045,1,1,0,0
519914068,1,1,0,0
520916082,1,1,0,0
521918123,1,1,0,0
522920176,1,1,0,0
523922203,1,1,0,0
524924270,1,1,0,0
525926284,1,1,0,0
526928319,1,1,0,0
527930368,1,1,0,0
528932418,1,1,0,0
529934441,1,1,0,0
530936480,1,1,0,0
531938566,1,1,0,0
532940578,1,1,0,0
533942644,1,1,0,0
534944636,1,1,0,0
535946730,1,1,0,0
536948714,1,1,0,0
537950787,1,1,0,0
538952824,1,1,0,0
539954843,1,1,0,0
540956888,1,1,0,0
541958946,1,1,0,0
542961004,1,1,0,0
543962995,1,1,0,0
544965060,1,1,0,0
545967143,1,1,0,0
549975268,1,1,0,0
550977299,1,1,0,0
551979390,1,1,0,0
552981352,1,1,0,0
553983448,1,1,0,0
554985481,1,1,0,0
555987485,1,1,0,0
556989619,1,1,0,0
557991602,1,1,0,0
558993596,1,1,0,0
559995707,1,1,0,0
560997701,1,1,0,0
561999749,1,1,0,0
563001783,1,1,0,0
564003798,1,1,0,0
565005839,1,1,0,0
566007950,1,1,0,0
567009924,1,1,0,0
568012013,1,1,0,0
569013996,1,1,0,0
570016051,1,1,0,0
571018133,1,1,0,0
572020117,1,1,0,0
573022161,1,1,0,0
574024203,1,1,0,0
575026274,1,1,0,0
576028278,1,1,0,0
577030335,1,1,0,0
578032358,1,1,0,0
579034427,1,1,0,0
580036443,1,1,0,0
581038514,1,1,0,0
582040614,1,1,0,0
583042595,1,1,0,0
584044600,1,1,0,0
585046694,1,1,0,0
586048679,1,1,0,0
587050754,1,1,0,0
588052755,1,1,0,0
589054795,1,1,0,0
590056838,1,1,0,0
591058891,1,1,0,0
592060999,1,1,0,0
593062959,1,1,0,0
594065003,1,1,0,0
595067036,1,1,0,0
596069112,1,1,0,0
597071172,1,1,0,0
598073187,1,1,0,0
599075214,1,1,0,0
600077292,1,1,0,0
