timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping
105110258,105109770,3670050,3670050,-0.0007274008,-0.00030386122,0.0001878332,-0.0016128216,0.0061181034,-0.06841252,5003,5003,0
105610223,105609770,3670050,3670050,0.00010853747,0.00022704642,-0.00015497286,-0.0003860792,-0.014747932,-0.04143738,5002,5002,0
106110280,106109769,3670050,3670050,0.00019982383,-5.5819815e-05,-0.000120174234,-0.0057177604,0.00467379,-0.041239724,5002,5002,0
106610480,106610021,3670050,3670050,0.00020562859,9.064526e-05,0.00013256844,-0.005034003,0.0004969911,-0.043840695,4954,4954,0
107110206,107109771,3670050,3670050,-0.00023873955,-9.801713e-05,-4.3511536e-05,-0.004608595,-0.002955315,-0.0442134,5003,5003,0
107610203,107609770,3670050,3670050,-7.695296e-05,0.00013668793,-0.00014434794,-0.0052958895,0.0075151287,-0.052665453,5000,5000,0
108110168,108109768,3670050,3670050,0.000104366154,8.218533e-05,2.9351866e-05,-0.004497576,-0.007535264,-0.046459306,5000,5000,0
108615277,108614769,3670050,3670050,-0.00032277452,-9.375909e-05,5.0106722e-05,-0.0052262293,0.00294118,-0.0424729,5000,5000,0
109110222,109109770,3670050,3670050,-0.00029335794,-3.520894e-05,-6.124718e-05,-0.004513562,0.0039665615,-0.040864345,5002,5002,0
109610206,109609770,3670050,3670050,0.00039305308,-8.6973014e-05,-8.94776e-05,-0.0006598243,-0.0063748495,-0.041172702,4960,4960,0
110110300,110109864,3670050,3670050,-0.00042185967,-3.6468766e-05,0.00019645029,-0.0005562707,-0.0055414615,-0.0394023,4926,4926,0
110610205,110609771,3670050,3670050,-0.0004422704,1.9129364e-05,-0.0002965686,-0.0035976425,-0.003975959,-0.039496712,5003,5003,0
111110203,111109770,3670050,3670050,0.00013563904,-4.756869e-05,5.7961675e-05,-0.0013058366,-0.00569668,-0.03806556,5002,5002,0
111610187,111609771,3670050,3670050,-0.00021597654,6.3169275e-05,-0.00016054294,-0.0016004685,-0.0075866845,-0.04988,5003,5003,0
112110302,112109865,3670050,3670050,-0.00017490247,2.086506e-05,-1.5748034e-05,-0.0020667736,-0.0030378702,-0.043400127,5096,5096,0
112610503,112610043,3670050,3670050,-0.00012638324,1.851762e-05,-0.00010368224,-0.00415409,0.00324244,-0.052505393,4924,4924,0
113110208,113109773,3670050,3670050,-0.0006959455,0.0009526462,-9.6618896e-05,-0.00384781,0.0027780985,-0.056663353,5005,5005,0
113610263,113609807,3670050,3670050,-0.00015070682,0.0010388473,-4.034468e-05,0.0031045876,-0.0019447543,-0.06711182,5040,5040,0
116610216,116609778,3670050,3670050,2.7045422e-05,-0.0034401237,-7.256448e-05,0.0005494709,-0.0005786415,-0.024695594,5010,5010,0
118110202,118109767,3670050,3670050,9.316726e-05,7.381731e-05,0.00026633535,0.0015490919,0.008985934,-0.050711155,5000,5000,0
118610525,118610067,3670050,3670050,1.5361838e-05,0.00025859821,-0.00013579284,0.0030620364,-0.004968964,-0.05582019,5299,5299,0
119110207,119109771,3670050,3670050,-0.00018093648,9.300043e-05,6.771771e-05,-0.0013961989,-0.011755157,-0.04254842,5003,5003,0
119610204,119609770,3670050,3670050,0.00035130998,0.0003535611,1.32830055e-05,0.0045242654,0.0018588459,-0.07002936,4997,4997,0
120110207,120109768,3670050,3670050,-0.0007956798,0.0003330647,-9.440054e-05,-0.00456031,0.0069625084,-0.06411231,5000,5000,0
120610189,120609769,3670050,3670050,0.0010209712,0.00024781068,-0.0006325288,-0.0040848283,0.0013465065,-0.047955614,5001,5001,0
121110219,121109768,3670050,3670050,-0.0012622834,0.00149617,0.00074297545,-0.0013410079,0.0042270157,-0.077142544,5000,5000,0
121610208,121609770,3670050,3670050,0.0006125253,-0.00016088753,-0.00042365436,-0.0020399962,-0.0064993883,-0.05793329,4951,4951,0
