timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
223105874,223105849,589858,-0.109718725,0.23852436,0.5268705,nan,0,0
227105876,227105850,589858,-0.0708056,0.22210704,0.52384776,nan,0,0
228106173,228106149,589858,-0.051349033,0.2161371,0.53593856,nan,0,0
229105875,229105850,589858,-0.036382444,0.24747927,0.50268877,nan,0,0
230105880,230105855,589858,0.018993925,0.22956946,0.5283819,nan,0,0
231105875,231105849,589858,0.027973877,0.22061455,0.49815473,nan,0,0
232105879,232105851,589858,-0.024409177,0.22956946,0.5132683,nan,0,0
233105876,233105850,589858,-0.10073877,0.24300182,0.50722283,nan,0,0
234106227,234106203,589858,-0.11570536,0.22956946,0.5132683,nan,0,0
235105873,235105849,589858,-0.1067254,0.21762958,0.5223364,nan,0,0
236105873,236105848,589858,-0.0708056,0.24300182,0.5178023,nan,0,0
237105877,237105850,589858,-0.06930894,0.24897176,0.5193137,nan,0,0
238105875,238105850,589858,-0.07230226,0.2265845,0.5223364,nan,0,0
239105879,239105851,589858,-0.0199192,0.22359952,0.5193137,nan,0,0
240106213,240106189,589858,0.04593378,0.24300182,0.495132,nan,0,0
241105873,241105848,589858,0.053417075,0.24001685,0.49210927,nan,0,0
242105873,242105849,589858,-0.00794593,0.26389658,0.51175696,nan,0,0
243105919,243105888,589858,-0.11271205,0.23255442,0.50722283,nan,0,0
244105876,244105850,589858,-0.13815524,0.22956946,0.5132683,nan,0,0
245105875,245105850,589858,-0.1576118,0.5698559,0.42409828,nan,0,0
246106267,246106242,589858,-0.22795476,1.7907083,0.20495163,nan,0,0
247105873,247105849,589858,-0.2878211,2.3802395,0.08253179,nan,0,0
248105889,248105865,589858,-0.21298818,2.5339656,0.031145679,nan,0,0
249105904,249105877,589858,-0.17856503,2.387702,-0.0051268707,nan,0,0
250105875,250105850,589858,-0.07679223,1.7683209,0.07044093,nan,0,0
251105876,251105850,589858,0.01450395,1.328038,0.10973619,nan,0,0
252106253,252106229,589858,-0.051349033,1.6936966,-0.033842638,nan,0,0
253105887,253105862,589858,-0.11570536,1.8907048,-0.124524005,nan,0,0
254105909,254105884,589858,-0.1725784,1.7996631,-0.14266029,nan,0,0
255105926,255105899,589858,-0.19353162,1.7175765,-0.107899085,nan,0,0
256105876,256105850,589858,-0.14264522,0.3429983,0.15658824,nan,0,0
257105875,257105850,589858,-0.19053829,-0.0062430836,0.3817803,nan,0,0
258105876,258105850,589858,-0.17407505,0.008681761,0.47246167,nan,0,0
259105872,259105848,589858,-0.183055,-0.0062430836,0.5298932,nan,0,0
260105903,260105876,589858,-0.25040466,0.06091871,0.49815473,nan,0,0
261105910,261105884,589858,-0.2563913,0.04002393,0.495132,nan,0,0
262105876,262105850,589858,-0.23992804,0.031069022,0.5042001,nan,0,0
263105876,263105850,589858,-0.23992804,0.031069022,0.51175696,nan,0,0
264105882,264105849,589858,-0.21897481,0.03256152,0.5132683,nan,0,0
