timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature,device_id
283107297,0,413.78912,410.48956,19.937319,4663313
284101794,0,408.0572,403.58115,19.930887,4663313
285107481,0,405.75955,426.5358,19.899532,4663313
286113091,0,380.94244,396.7099,19.91981,4663313
287107714,0,375.60983,380.9833,19.918827,4663313
288102517,0,421.54846,430.16467,19.95706,4663313
290113557,0,439.92007,426.81802,19.920614,4663313
291108239,0,413.44217,431.14038,19.932585,4663313
292102796,0,468.7285,444.4943,19.940445,4663313
293108259,0,521.128,505.63504,19.908913,4663313
294103134,0,532.61145,524.9852,19.824339,4663313
295108374,0,505.84366,525.0939,19.9157,4663313
297109175,0,263.86133,284.33624,19.958847,4663313
298103875,0,194.0851,199.3826,19.882471,4663313
299109372,0,201.30772,189.75105,19.797184,4663313
300104381,0,183.95665,186.97876,19.790127,4663313
301109985,0,197.98233,203.47542,19.849508,4663313
302104914,0,216.93243,212.02605,19.892744,4663313
303110564,0,237.32916,233.38751,19.858015,4663313
304105061,0,211.77002,217.66193,19.79638,4663313
305110621,0,244.41373,241.05624,19.81112,4663313
306105426,0,238.15811,250.60583,19.79754,4663313
307110748,0,254.36783,260.49057,19.875166,4663313
308105551,0,254.11014,244.37192,19.799864,4663313
309111235,0,238.32178,246.9288,19.799774,4663313
310106204,0,264.9128,248.44604,19.803705,4663313
311111674,0,270.92206,276.09424,19.885708,4663313
312106453,0,288.30167,284.0645,19.80701,4663313
313112059,0,270.01273,274.6186,19.675093,4663313
314107082,0,245.0463,262.41913,19.747963,4663313
315102009,0,264.1011,274.1405,19.694923,4663313
316107085,0,260.31335,272.8039,19.715023,4663313
317112297,0,282.2252,289.9271,19.769958,4663313
318106817,0,299.7637,298.74173,19.707787,4663313
319101738,0,310.41583,300.8158,19.709574,4663313
320107211,0,296.84418,290.3648,19.667946,4663313
321112493,0,326.5053,325.60596,19.713772,4663313
322107413,0,319.72604,330.2297,19.693048,4663313
323102212,0,288.21655,296.39322,19.708145,4663313
324107933,0,271.5445,267.6346,19.695995,4663313
325113399,0,279.6788,267.64313,19.73521,4663313
326108240,0,267.53177,265.1902,19.641237,4663313
327102758,0,270.90952,268.86447,19.589626,4663313
328108174,0,270.90952,256.9377,19.68733,4663313
329103189,0,247.44217,243.9349,19.682955,4663313
330108766,0,258.78162,252.22897,19.69412,4663313
331103354,0,271.59686,257.0147,19.69671,4663313
332108901,0,255.61334,256.2639,19.55318,4663313
337104287,0,184.02864,172.20058,19.693405,4663313
338109709,0,252.87537,232.59378,19.757095,4663313
339104611,0,298.92584,287.77008,19.696354,4663313
340109916,0,314.6487,306.2559,19.597845,4663313
341104507,0,309.00845,307.95398,19.592665,4663313
342110037,0,298.80145,308.89905,19.596952,4663313
343104745,0,242.79031,247.93683,19.593557,4663313
344110125,0,151.53789,160.7553,19.654837,4663313
345105044,0,119.82965,124.07117,19.595432,4663313
346110434,0,167.841,153.18248,19.590162,4663313
347105352,0,226.43246,221.57184,19.585697,4663313
348110767,0,348.5802,317.9028,19.6158,4663313
349105679,0,428.35153,412.68597,19.613209,4663313
350111186,0,456.83496,443.5016,19.700394,4663313
351106070,0,470.84042,464.87592,19.604366,4663313
352111273,0,460.50488,454.57675,19.580984,4663313
353106098,0,504.56717,496.26614,19.60517,4663313
354111810,0,471.11536,465.97998,19.608118,4663313
355106501,0,504.8118,470.4679,19.680294,4663313
356112132,0,482.1472,497.45822,19.615086,4663313
357106705,0,450.11874,449.24084,19.608744,4663313
358112099,0,439.95282,436.84003,19.530245,4663313
359106697,0,411.40634,423.91806,19.61169,4663313
360112220,0,380.30093,390.9773,19.52024,4663313
361106921,0,348.16125,361.43808,19.512379,4663313
362112017,0,358.71518,358.5679,19.512825,4663313
363106713,0,364.72858,365.68494,19.523098,4663313
364101434,0,380.37296,363.7853,19.521223,4663313
365106526,0,348.59985,365.00574,19.518364,4663313
366111878,0,369.4917,351.90817,19.51631,4663313
367106671,0,349.333,339.2791,19.430664,4663313
368112082,0,279.7377,293.77213,19.540607,4663313
369106954,0,276.504,265.8647,19.496479,4663313
370112368,0,249.44522,249.83759,19.514881,4663313
371106952,0,253.5668,256.37497,19.499338,4663313
372112289,0,263.59296,256.17923,19.56437,4663313
373107321,0,253.0824,247.53467,19.395023,4663313
374112798,0,249.52136,252.64978,19.346428,4663313
375107375,0,253.07587,262.38928,19.394934,4663313
376112795,0,252.6373,266.13867,19.388948,4663313
377107386,0,200.5091,215.47209,19.39547,4663313
378102199,0,158.30824,164.02956,19.408243,4663313
379107704,0,146.8337,140.56587,19.467022,4663313
380112992,0,175.23975,168.99294,19.352146,4663313
381107722,0,236.72458,227.55136,19.387163,4663313
382102510,0,281.3522,282.62988,19.393147,4663313
383107933,0,271.4856,280.6157,19.304377,4663313
384113517,0,292.61548,306.90997,19.475061,4663313
385108114,0,234.5364,240.99551,19.500877,4663313
386102804,0,160.1911,173.4326,19.36215,4663313
387108485,0,130.74837,130.9329,19.391092,4663313
388114149,0,163.25049,148.61363,19.475687,4663313
389109178,0,265.9733,241.86526,19.329657,4663313
390104080,0,391.94153,375.0585,19.340107,4663313
391109179,0,450.9787,448.38425,19.399153,4663313
395109829,0,481.54727,474.38104,19.385576,4663313
396104723,0,499.093,469.2685,19.283226,4663313
397109991,0,439.29822,450.6274,19.2282,4663313
398105245,0,416.30276,418.70688,19.287693,4663313
399110659,0,377.1874,379.08328,19.256428,4663313
400105441,0,349.34607,353.56628,19.235435,4663313
401110992,0,316.09537,319.36636,19.22677,4663313
402105987,0,264.65097,288.43896,19.213907,4663313
403111456,0,204.84912,209.35326,19.259287,4663313
404106409,0,186.24536,189.078,19.163347,4663313
405111960,0,221.90741,210.67302,19.276705,4663313
406106679,0,263.31558,247.26376,19.195684,4663313
407111995,0,263.8155,261.87366,19.274294,4663313
408106823,0,271.49213,259.92703,19.206762,4663313
409112579,0,221.0695,221.57565,19.265272,4663313
410107297,0,168.45631,172.43933,19.11004,4663313
411112722,0,142.22115,139.012,19.280457,4663313
412107713,0,184.32976,173.73926,19.11129,4663313
413102437,0,231.90906,226.4426,19.100124,4663313
414107915,0,272.1402,266.5353,19.215605,4663313
415113440,0,286.7723,282.9166,19.174,4663313
