timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
39809102,45.416412,45.283043,67.99585,66.428925,0.0,160.30136,0.97328395,1.0,nan,12,3.773587,3.773587,3.773587,3.773587,3.773587,3.773587,3.773587,3.773587,3.773587,3.773587,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
40109078,45.274963,45.27522,63.995346,66.36475,0.0,165.81606,0.97236466,1.0,nan,12,3.772935,3.772935,3.772935,3.772935,3.772935,3.772935,3.772935,3.772935,3.772935,3.772935,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
40409123,45.058014,45.179745,70.62642,69.742935,0.0,171.97232,0.9713386,1.0,nan,12,3.7649786,3.7649786,3.7649786,3.7649786,3.7649786,3.7649786,3.7649786,3.7649786,3.7649786,3.7649786,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
40709078,44.78276,45.119102,72.125,71.07661,0.0,178.01959,0.9703308,1.0,nan,12,3.7599251,3.7599251,3.7599251,3.7599251,3.7599251,3.7599251,3.7599251,3.7599251,3.7599251,3.7599251,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
41009243,44.903183,45.038578,73.88407,72.56475,0.0,184.23743,0.9692944,1.0,nan,12,3.7532148,3.7532148,3.7532148,3.7532148,3.7532148,3.7532148,3.7532148,3.7532148,3.7532148,3.7532148,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
41309103,45.044632,44.97939,70.03149,73.23536,0.0,190.42188,0.9682638,1.0,nan,12,3.7482824,3.7482824,3.7482824,3.7482824,3.7482824,3.7482824,3.7482824,3.7482824,3.7482824,3.7482824,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
41609100,44.433918,44.911983,81.06827,74.26366,0.0,196.69919,0.96721756,1.0,nan,12,3.7426653,3.7426653,3.7426653,3.7426653,3.7426653,3.7426653,3.7426653,3.7426653,3.7426653,3.7426653,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
41909082,44.499866,44.780567,78.45379,77.94436,0.0,203.57925,0.966071,1.0,nan,12,3.731714,3.731714,3.731714,3.731714,3.731714,3.731714,3.731714,3.731714,3.731714,3.731714,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
42209115,44.10228,44.64944,92.87686,80.497345,0.0,210.55537,0.96490836,1.0,nan,12,3.7207868,3.7207868,3.7207868,3.7207868,3.7207868,3.7207868,3.7207868,3.7207868,3.7207868,3.7207868,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
42509084,44.339302,44.567947,83.28078,80.70628,0.0,217.32742,0.9637796,1.0,nan,12,3.7139957,3.7139957,3.7139957,3.7139957,3.7139957,3.7139957,3.7139957,3.7139957,3.7139957,3.7139957,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
