timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
38022014,-0.69979966,0.06620415,-2.6854088,-1.0106615,-0.75030667,-0.5385849,0.23994468,-1.3450385,-0.31268054,-0.16740146,-0.071261466,0.0014103651,-0.041594982,-0.37211215,-0.27111387,-0.13812912,0.4185412,4.0804713e-05,0.012773088,0.73241884,0.2547264,4.0804713e-05
38222422,-0.6879109,0.06288783,-2.674089,-0.9911143,-0.7393516,-0.53570867,0.21765774,-1.1933858,-0.24598473,-0.100072,0.0041493177,0.16271746,0.01977694,-0.42846662,-0.35672045,-0.250764,0.24184752,4.1772222e-05,0.011476561,0.7212161,0.26722357,4.209773e-05
38422845,-0.6453035,0.059899915,-2.6373188,-0.9404652,-0.6981011,-0.50303495,0.22099012,-1.310071,-0.42650864,-0.2815104,-0.17429173,0.03260058,0.16474068,-0.36122328,-0.30692095,-0.21867645,0.22592103,4.2559088e-05,0.010001432,0.7064328,0.28347754,4.568348e-05
38623238,-0.59505457,0.057431072,-2.5867438,-0.8831223,-0.64844424,-0.46032852,0.239878,-1.1901737,-0.3744952,-0.24117026,-0.14080423,0.07564473,0.26292384,-0.2742806,-0.2305184,-0.15617871,0.23256445,4.045402e-05,0.009012991,0.695501,0.29539847,4.705305e-05
38818758,-0.544054,0.05525773,-2.5314457,-0.8260218,-0.5976194,-0.41511744,0.2658498,-1.0948328,-0.29350743,-0.1653012,-0.06844747,0.15242153,0.28175044,-0.2614135,-0.21994501,-0.15127975,0.21311975,3.9328286e-05,0.008324907,0.6873498,0.3042391,4.6885132e-05
39024054,-0.50765926,0.053359445,-2.4912467,-0.78413624,-0.5613283,-0.38394248,0.27936915,-1.0629551,-0.29965672,-0.17799407,-0.0856598,0.13672656,0.3101431,-0.23129612,-0.19427335,-0.13275772,0.20088458,3.8941344e-05,0.0077249478,0.6796386,0.31255051,4.6858473e-05
39219574,-0.48627514,0.05163766,-2.4623919,-0.7572096,-0.5396987,-0.3669672,0.28053278,-0.96683973,-0.28101063,-0.16121101,-0.06829655,0.18105555,0.44004112,-0.16091383,-0.13804233,-0.09013808,0.19829553,3.8127997e-05,0.007274174,0.6739178,0.31872436,4.5511246e-05
39419981,-0.47201428,0.049859658,-2.4360976,-0.73696715,-0.524878,-0.35666084,0.2759952,-0.82598007,-0.2650947,-0.13825062,-0.035740793,0.28345567,0.65447444,-0.11146331,-0.116702855,-0.09158397,0.1332528,3.7842263e-05,0.0069224923,0.6697348,0.32326198,4.2915573e-05
39620390,-0.46058434,0.047826763,-2.4139676,-0.71959317,-0.51307064,-0.3495419,0.26803038,-0.79275596,-0.32507354,-0.1858753,-0.070066065,0.32724357,0.79577154,-0.16359735,-0.1948613,-0.18993247,-0.016116083,3.9110637e-05,0.006516108,0.66393954,0.32946375,4.144168e-05
39820798,-0.45481858,0.04632763,-2.4007964,-0.70920134,-0.50708294,-0.3473093,0.25724864,-0.7728534,-0.30434078,-0.18305838,-0.08328241,0.25508744,0.71173936,-0.11343145,-0.13283896,-0.122980356,0.04239613,3.835003e-05,0.006168054,0.6585734,0.33517948,4.065293e-05
