timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
1371058908,1371057822,0.43299857,5.5509412e-05,-2.3368742,10.976789,0.055278067,10.945787,0
1371161535,1371160470,0.43217844,5.4833105e-05,1.1777372,10.68541,0.01442325,10.505798,0
1371259384,1371258230,0.43247554,5.4176253e-05,-3.0717564,10.471021,0.10012487,10.490241,0
1371351889,1371351102,0.4319252,5.3552438e-05,0.47630498,10.348738,0.002435793,10.225319,0
1371474287,1371473317,0.4303409,5.2835123e-05,2.2731428,10.063872,0.05704871,9.958888,0
1371571854,1371571063,0.43018886,5.224925e-05,4.133745,9.767545,0.19438353,9.74939,0
1371674680,1371673710,0.431184,5.166982e-05,-1.857558,9.709176,0.039487522,9.65563,0
1371772310,1371771470,0.4317217,5.1079132e-05,0.17605478,9.674472,0.0003559802,9.559273,0
1371860599,1371859454,0.43076822,5.0587507e-05,1.3457255,9.360367,0.021496987,9.250613,0
1372261041,1372260270,0.4301719,4.791676e-05,-4.61653,8.369606,0.28293312,8.593929,0
