timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
568283240,inf,0,0,0,0,0
569289884,inf,0,0,0,0,0
570291750,inf,0,0,0,0,0
571293833,inf,0,0,0,0,0
572300768,inf,0,0,0,0,0
573302819,inf,0,0,0,0,0
574309728,inf,0,0,0,0,0
575311780,inf,0,0,0,0,0
576313777,inf,0,0,0,0,0
577320965,inf,0,0,0,0,0
578323025,inf,0,0,0,0,0
579329671,inf,0,0,0,0,0
580331721,inf,0,0,0,0,0
581333735,inf,0,0,0,0,0
582340940,inf,0,0,0,0,0
583343047,inf,0,0,0,0,0
584345043,inf,0,0,0,0,0
585351652,inf,0,0,0,0,0
586358891,inf,0,0,0,0,0
587360981,inf,0,0,0,0,0
588362675,inf,0,0,0,0,0
589369588,inf,0,0,0,0,0
590371966,inf,0,0,0,0,0
591373684,inf,0,0,0,0,0
592380906,inf,0,0,0,0,0
593382973,inf,0,0,0,0,0
594389594,inf,0,0,0,0,0
595391598,inf,0,0,0,0,0
596398841,inf,0,0,0,0,0
597400875,inf,0,0,0,0,0
598402956,inf,0,0,0,0,0
599414459,inf,0,0,0,0,0
600421684,inf,0,0,0,0,0
601428354,inf,0,0,0,0,0
602435268,inf,0,0,0,0,0
603442448,inf,0,0,0,0,0
604444494,inf,0,0,0,0,0
605451160,inf,0,0,0,0,0
606453167,inf,0,0,0,0,0
607460464,inf,0,0,0,0,0
608462515,inf,0,0,0,0,0
609464441,inf,0,0,0,0,0
610471074,inf,0,0,0,0,0
611478555,inf,0,0,0,0,0
612485359,inf,0,0,0,0,0
613492218,inf,0,0,0,0,0
614494083,inf,0,0,0,0,0
615501314,inf,0,0,0,0,0
616507793,inf,0,0,0,0,0
617509840,inf,0,0,0,0,0
618511893,inf,0,0,0,0,0
619519106,inf,0,0,0,0,0
620521124,inf,0,0,0,0,0
621523211,inf,0,0,0,0,0
622529865,inf,0,0,0,0,0
627549872,inf,0,0,0,0,0
628551856,inf,0,0,0,0,0
629553885,inf,0,0,0,0,0
630561059,inf,0,0,0,0,0
631563138,inf,0,0,0,0,0
632569731,inf,0,0,0,0,0
633572147,inf,0,0,0,0,0
634578998,inf,0,0,0,0,0
635580759,inf,0,0,0,0,0
636583082,inf,0,0,0,0,0
637589709,inf,0,0,0,0,0
638591765,inf,0,0,0,0,0
639598757,inf,0,0,0,0,0
641603069,inf,0,0,0,0,0
642604882,inf,0,0,0,0,0
643611795,inf,0,0,0,0,0
644618770,inf,0,0,0,0,0
645620777,inf,0,0,0,0,0
646622841,inf,0,0,0,0,0
647629690,inf,0,0,0,0,0
648631718,inf,0,0,0,0,0
649633852,inf,0,0,0,0,0
650641010,inf,0,0,0,0,0
651643020,inf,0,0,0,0,0
652649671,inf,0,0,0,0,0
653652020,inf,0,0,0,0,0
654663807,inf,0,0,0,0,0
655670461,inf,0,0,0,0,0
656672535,inf,0,0,0,0,0
657674511,inf,0,0,0,0,0
658681914,inf,0,0,0,0,0
659688427,inf,0,0,0,0,0
660695379,inf,0,0,0,0,0
661702530,inf,0,0,0,0,0
662709173,inf,0,0,0,0,0
663711172,inf,0,0,0,0,0
664713262,inf,0,0,0,0,0
665720522,inf,0,0,0,0,0
666722511,inf,0,0,0,0,0
667724542,inf,0,0,0,0,0
668731159,inf,0,0,0,0,0
