timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
45510430,63.31929524088187,10.273143101888571,43.16862,82.10506,-0.0,0.55403906,0.8945641,0.0,2,0,0,0
45710838,63.31929871224116,10.27314185565004,43.578068,82.4936,-0.0,0.55396473,0.8942632,0.0,2,0,0,0
45911246,63.31930232988802,10.273140144823943,44.006287,82.90272,-0.0,0.55393344,0.893968,0.0,2,0,0,0
46111655,63.319306088020156,10.273138085313642,44.473873,83.349205,-0.0,0.55386585,0.8947179,0.0,2,0,0,0
46307175,63.31930976090108,10.273135914253423,44.95777,83.814156,-0.0,0.553865,0.8944188,0.0,2,0,0,0
46507582,63.31931337754615,10.273133180425347,45.477924,84.314156,-0.0,0.5538778,0.8941196,0.0,2,0,0,0
46712879,63.31931690793692,10.273130086163746,46.038116,84.854546,-0.0,0.5538986,0.8938205,0.0,2,0,0,0
46908399,63.3193204001271,10.273127209478321,46.57773,85.37396,-0.0,0.55392796,0.8945769,0.0,2,0,0,0
47099065,63.31932386443436,10.27312453336953,47.111298,85.88833,-0.0,0.55360234,0.8939902,0.0,2,0,0,0
47309215,63.31932760468537,10.273121681630395,47.72799,86.484116,-0.0,0.5539881,0.89397764,0.0,2,0,0,0
47509622,63.319331094979205,10.273119252054633,48.346745,87.083176,-0.0,0.5540265,0.8947303,0.0,2,0,0,0
47710030,63.31933449526124,10.27311707399707,48.97157,87.687996,-0.0,0.5540645,0.89442724,0.0,2,0,0,0
47910439,63.31933781138905,10.273115243248448,49.599613,88.296036,-0.0,0.55410045,0.8941276,0.0,2,0,0,0
48110848,63.31934118134307,10.273113744605727,50.24361,88.92004,-0.0,0.5541313,0.8938245,0.0,2,0,0,0
48311254,63.31934455942745,10.273112404384912,50.907207,89.56343,-0.0,0.5541613,0.8945736,0.0,2,0,0,0
48511663,63.31934789812749,10.273111434929525,51.58445,90.22067,-0.0,0.5541889,0.8942708,0.0,2,0,0,0
48707182,63.31935118212569,10.273110646587503,52.235588,90.85191,-0.0,0.5542209,0.8939786,0.0,2,0,0,0
48902703,63.31935439990382,10.273109955353389,52.866978,91.4634,-0.0,0.5538804,0.89444053,0.0,2,0,0,0
49103110,63.319357586788705,10.273109477417831,53.474594,92.05082,-0.0,0.5538961,0.8941457,0.0,2,0,0,0
49313339,63.31936097233304,10.27310920325134,54.0672,92.62343,-0.0,0.5542525,0.8941356,0.0,2,0,0,0
49513702,63.31936418351485,10.27310910437179,54.622097,93.15832,-0.0,0.55423343,0.8938354,0.0,2,0,0,0
49709222,63.31936717789763,10.27310884681993,55.170147,93.68747,-0.0,0.5542573,0.89354175,0.0,2,0,0,0
49909630,63.31937013156784,10.273108226351818,55.74392,94.24054,-0.0,0.5542269,0.8942872,0.0,2,0,0,0
50110038,63.319373010921815,10.273107608098714,56.3293,94.80588,-0.0,0.55419606,0.893984,0.0,2,0,0,0
50310447,63.3193758842547,10.273107187042513,56.906998,95.363525,-0.0,0.5541704,0.89368135,0.0,2,0,0,0
50510854,63.3193787399195,10.273106972256084,57.47198,95.907906,-0.0,0.5541502,0.8944312,0.0,2,0,0,0
50711261,63.319381548996205,10.273106750249141,57.83053,96.24625,-0.0,0.55410576,0.8941335,0.0,2,0,0,0
51087639,63.31938665608654,10.27310676726842,57.964706,96.34069,-0.0,0.55325776,0.8940239,0.0,2,0,0,0
52910862,63.3194345267702,10.273055107565312,57.8321,96.0406,-0.0,0.55345964,0.89403445,0.0,2,0,0,0
53111270,63.31944373191575,10.273037999519193,57.981243,96.16975,-0.0,0.55352896,0.89374787,0.0,2,0,0,0
