state_output_1,state_output_2,state_output_3,state_output_4,state_output_5,state_output_6,state_output_7,state_output_8,state_output_9,state_output_10,input_output_1,input_output_2,input_output_3,input_output_4,input_output_5,input_output_6,input_output_7,input_output_8
0.249138224646072,-0.0695368159799505,-0.0206590521908781,0.965747325677168,-0.0457946094559247,0.00465059003914061,-0.0184613211052781,19.873534506219,-0.580963183725773,0.838257957619924,0,-0,0,-0,-0.00257426763198406,0.0880323972000008,-0.10352956392,0.6262738
0.249199718941417,-0.069529083121244,-0.0209857378413672,0.965724991584309,-0.0372744948993578,0.01708700065216,-0.024829883693295,19.8733224370781,-0.58622889174275,0.827928279353027,0,-0,0,-0,-0.00156829775601911,0.0854127600470592,-0.103265667131163,0.6274113
0.249337383304616,-0.0696580577931628,-0.0212300730154539,0.96567487984547,-0.0279035288570667,0.0201805467142685,-0.0187884428571347,19.8654974617058,-0.584172033257382,0.828468516704462,0,-0,0,-0,-0.00140822014916044,0.0850053228040033,-0.103427291035358,0.6274113
0.249424706381539,-0.0697346902717951,-0.0213932436137441,0.965643173862564,-0.0270025502218668,0.0139884869570665,-0.0203736578967178,19.8616809331921,-0.58461050938064,0.825508430990264,0,-0,0,-0,-0.000965230028182105,0.0839380780273921,-0.103537192319092,0.6284113
0.249571296783961,-0.0698692299611297,-0.0216554825992234,0.965589728356178,-0.0167895795626872,0.0143666432186437,-0.0203996574680601,19.8533669304434,-0.584361848351451,0.826248370759421,0,-0,0,-0,-0.000889032092730627,0.0831430330743748,-0.103637633140495,0.62914133
0.249695608945377,-0.0700113965977909,-0.0219589997566499,0.965540423193535,-0.0298476508215131,0.0214251525307756,-0.0234562887295164,19.8446637455132,-0.58515326499624,0.823904000937743,0,-0,0,-0,3.36107375500348e-05,0.0823609454194688,-0.103376237204532,0.62914133
0.249805925611703,-0.0701552112612525,-0.0222068416983437,0.965495863251841,-0.0235163388512927,0.0166361256569832,-0.0174596964474426,19.8368962615284,-0.585513045932373,0.824461048797855,0,-0,0,-0,0.000443776248848176,0.0810447064386835,-0.103675075236214,0.62996536
0.249931037477496,-0.0703374639412855,-0.0224738995011262,0.965443954168371,-0.010694435,0.0102579033333333,-0.0154884763333333,19.8309717618942,-0.584415286258816,0.823073491853896,0,-0,0,-0,1.31691014262341e-05,0.0815329890598947,-0.103777839307615,0.62996536
0.250058981270328,-0.0705330833200356,-0.0227572748870802,0.965389989818963,-0.0134680206536079,0.0115587825947783,-0.0223648255555572,19.8235012599585,-0.584701263245262,0.822057652910811,0,-0,0,-0,0.000638867300206009,0.0802113219187663,-0.103570236559707,0.6307319
0.250147690212765,-0.0707208285433702,-0.0230260149901782,0.965346883240589,-0.00798749650979139,0.01137770077776,-0.0231924221503723,19.8165085363992,-0.588026866871676,0.823287566868545,0,-0,0,-0,0.00103193972714629,0.0800959011090748,-0.103358534362743,0.6307319
0.250234505127365,-0.0708677561340144,-0.0232764453845508,0.96530758453197,-0.00561369316497165,0.00106482139454681,-0.0228538499288079,19.8087122637559,-0.589689590671342,0.820851383734123,0,-0,0,-0,0.000929250298405753,0.079535129471376,-0.103551103039059,0.6313651
0.250349086858633,-0.0710227934441479,-0.0235419354288035,0.965260010576923,-0.00965271576604028,0.00925865084798825,-0.0212773226887545,19.8003391368664,-0.589321826348389,0.822072780333387,0,-0,0,-0,0.00194365448518447,0.0786391467007156,-0.103527764663938,0.6313651
0.250440980235245,-0.0711541581691718,-0.0237305596270829,0.965221922706352,0.00540907433748655,0.00156891472501286,-0.0236590394862284,19.7925805159364,-0.592722295024738,0.821209450599985,0,-0,0,-0,0.00128949433827792,0.0777818119905926,-0.103489673065603,0.6319733
0.250528058565875,-0.0713257165742627,-0.0239593147662632,0.965181020126841,0.00993525654018051,-0.00271506529456619,-0.0222389428017817,19.7865379239088,-0.594335111944626,0.818413732829093,0,-0,0,-0,0.00107534347581252,0.0782114493311322,-0.103562139336489,0.6319733
0.250621021319558,-0.0714667116499585,-0.0241556297462144,0.965141524452742,0.00694129201428381,-0.00117446973060081,-0.0209399461300438,19.7799993072751,-0.594466407077499,0.817676605222011,0,-0,0,-0,0.00115815662795071,0.0768930786247936,-0.103614945401857,0.6325036
0.250693243676351,-0.0715720218361298,-0.0242994589015966,0.965111313717267,0.0132760728092073,-0.000700481875019655,-0.0200211615051499,19.7705571940783,-0.597962341046562,0.82243621897352,0,-0,0,-0,0.00118371783983435,0.0769510328921614,-0.103729547653186,0.6325036
0.250761464513094,-0.071648239430238,-0.0244362817018221,0.965084595427578,0.013262356794595,-0.00571273934523649,-0.0253283238798767,19.7631873337816,-0.602489565697643,0.821046175963764,0,-0,0,-0,0.000978574556775186,0.0762291922478414,-0.103553775850143,0.6329597
0.250824302217803,-0.071729893472436,-0.0246058579638174,0.96505764140762,0.0192368652039915,-0.00204481572400353,-0.0267351353793522,19.7541523684384,-0.604402061969614,0.817236585929865,0,-0,0,-0,0.000564995744453783,0.0757410018674239,-0.103417775033707,0.6329597
0.25086991389077,-0.0716288376987657,-0.0245622599838141,0.965052105308715,0.0241376203397848,-0.00152048303581986,-0.0263268169115008,19.7513326476001,-0.607259302615743,0.818535528471934,0,-0,0,-0,0.000666378499382599,0.0760883289817085,-0.103364173853719,0.632941869168398
0.250915525563737,-0.0715277819250955,-0.0245186620038108,0.96504656920981,0.0241292235475535,-0.00164485628893642,-0.0263651491161059,19.7485146074164,-0.610116228017913,0.819836520900171,0,-0,0,-0,0.000570244976944193,0.0761025937915703,-0.103351821383161,0.632919966660595
0.250961137236704,-0.0714267261514252,-0.0244750640238075,0.965041033110904,0.0241208267553222,-0.00176922954205298,-0.0264034813207109,19.7456982483791,-0.612972837514427,0.821139562732332,0,-0,0,-0,0.000474111454505787,0.076116858601432,-0.103339468912604,0.632898064152793
0.251006748909672,-0.0713256703777538,-0.0244314660438037,0.965035497011999,0.0241124299630909,-0.00189360279517095,-0.0264418135253164,19.7428835709799,-0.615829130443692,0.822444653485836,0,-0,0,-0,0.000377977932066288,0.076131123411294,-0.103327116442046,0.63287616164499
