timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
319165632,319165103,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319170527,319169988,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319175432,319174875,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319180294,319179764,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319185187,319184652,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319190107,319189539,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319194955,319194427,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319199857,319199330,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319204791,319204204,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319209622,319209091,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319214512,319213980,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319219451,319218868,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319224311,319223756,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319229178,319228645,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319234069,319233531,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319238948,319238419,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319243837,319243307,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319248728,319248195,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319253615,319253083,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319258502,319257971,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319263437,319262908,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319268285,319267747,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319273158,319272635,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319278055,319277523,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319283008,319282432,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319287839,319287299,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319292711,319292189,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319297645,319297116,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319302486,319301963,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319307404,319306851,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319312300,319311739,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319317230,319316629,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319322048,319321515,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319326962,319326403,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319331905,319331291,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319336751,319336223,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319341601,319341068,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319346513,319345955,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319351374,319350843,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
